Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
December 25, 2025 - 21:16:53
Django version 6.0, using settings 'ems_project.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.

WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
For more information on production servers see: https://docs.djangoproject.com/en/6.0/howto/deployment/
[26/Dec/2025 09:11:13] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[26/Dec/2025 09:11:13] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[26/Dec/2025 09:11:13] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[26/Dec/2025 09:11:13] "GET /api/departments/ HTTP/1.1" 200 724
[26/Dec/2025 09:11:13] "GET /api/companies/ HTTP/1.1" 200 1035
[26/Dec/2025 09:11:13] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:11:13] "GET /api/departments/ HTTP/1.1" 200 724
[26/Dec/2025 09:11:13] "GET /api/companies/ HTTP/1.1" 200 1035
[26/Dec/2025 09:11:13] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:11:13] "GET /api/companies/ HTTP/1.1" 200 1035
[26/Dec/2025 09:11:13] "GET /api/companies/ HTTP/1.1" 200 1035
[26/Dec/2025 09:11:13] "POST /api/companies/ HTTP/1.1" 201 184
[26/Dec/2025 09:11:13] "GET /api/companies/ HTTP/1.1" 200 1220
[26/Dec/2025 09:11:13] "GET /api/companies/ HTTP/1.1" 200 1220
[26/Dec/2025 09:11:13] "GET /api/departments/ HTTP/1.1" 200 724
[26/Dec/2025 09:11:13] "GET /api/departments/ HTTP/1.1" 200 724
[26/Dec/2025 09:11:14] "GET /api/companies/ HTTP/1.1" 200 1220
[26/Dec/2025 09:11:14] "GET /api/companies/ HTTP/1.1" 200 1220
[26/Dec/2025 09:11:14] "POST /api/departments/ HTTP/1.1" 201 155
[26/Dec/2025 09:11:14] "GET /api/departments/ HTTP/1.1" 200 880
[26/Dec/2025 09:11:14] "GET /api/departments/ HTTP/1.1" 200 880
[26/Dec/2025 09:11:14] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:11:14] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:11:14] "GET /api/companies/ HTTP/1.1" 200 1220
[26/Dec/2025 09:11:14] "GET /api/companies/ HTTP/1.1" 200 1220
[26/Dec/2025 09:11:14] "OPTIONS /api/departments/?company=9 HTTP/1.1" 200 0
[26/Dec/2025 09:11:14] "GET /api/departments/?company=9 HTTP/1.1" 200 880
Bad Request: /api/employees/
[26/Dec/2025 09:11:15] "POST /api/employees/ HTTP/1.1" 400 50
[26/Dec/2025 09:12:43] "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[26/Dec/2025 09:12:44] "POST /api/auth/login/ HTTP/1.1" 200 231
[26/Dec/2025 09:12:44] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[26/Dec/2025 09:12:44] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[26/Dec/2025 09:12:44] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[26/Dec/2025 09:12:44] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[26/Dec/2025 09:12:44] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[26/Dec/2025 09:12:44] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[26/Dec/2025 09:12:44] "GET /api/departments/ HTTP/1.1" 200 880
[26/Dec/2025 09:12:44] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:12:44] "GET /api/departments/ HTTP/1.1" 200 880
[26/Dec/2025 09:12:44] "GET /api/companies/ HTTP/1.1" 200 1220
[26/Dec/2025 09:12:44] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:12:44] "GET /api/companies/ HTTP/1.1" 200 1220
[26/Dec/2025 09:12:44] "GET /api/companies/ HTTP/1.1" 200 1220
[26/Dec/2025 09:12:44] "GET /api/companies/ HTTP/1.1" 200 1220
[26/Dec/2025 09:12:44] "POST /api/companies/ HTTP/1.1" 201 185
[26/Dec/2025 09:12:44] "GET /api/companies/ HTTP/1.1" 200 1406
[26/Dec/2025 09:12:44] "GET /api/companies/ HTTP/1.1" 200 1406
[26/Dec/2025 09:12:44] "GET /api/departments/ HTTP/1.1" 200 880
[26/Dec/2025 09:12:44] "GET /api/departments/ HTTP/1.1" 200 880
[26/Dec/2025 09:12:44] "GET /api/companies/ HTTP/1.1" 200 1406
[26/Dec/2025 09:12:44] "GET /api/companies/ HTTP/1.1" 200 1406
[26/Dec/2025 09:12:44] "POST /api/departments/ HTTP/1.1" 201 156
[26/Dec/2025 09:12:44] "GET /api/departments/ HTTP/1.1" 200 1037
[26/Dec/2025 09:12:44] "GET /api/departments/ HTTP/1.1" 200 1037
[26/Dec/2025 09:12:44] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:12:44] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:12:45] "GET /api/companies/ HTTP/1.1" 200 1406
[26/Dec/2025 09:12:45] "GET /api/companies/ HTTP/1.1" 200 1406
[26/Dec/2025 09:12:45] "OPTIONS /api/departments/?company=10 HTTP/1.1" 200 0
[26/Dec/2025 09:12:45] "GET /api/departments/?company=10 HTTP/1.1" 200 1037
[26/Dec/2025 09:14:06] "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[26/Dec/2025 09:14:07] "POST /api/auth/login/ HTTP/1.1" 200 231
[26/Dec/2025 09:14:07] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[26/Dec/2025 09:14:07] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[26/Dec/2025 09:14:07] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[26/Dec/2025 09:14:07] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[26/Dec/2025 09:14:07] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[26/Dec/2025 09:14:07] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[26/Dec/2025 09:14:07] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:14:07] "GET /api/departments/ HTTP/1.1" 200 1037
[26/Dec/2025 09:14:07] "GET /api/companies/ HTTP/1.1" 200 1406
[26/Dec/2025 09:14:07] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:14:07] "GET /api/departments/ HTTP/1.1" 200 1037
[26/Dec/2025 09:14:07] "GET /api/companies/ HTTP/1.1" 200 1406
[26/Dec/2025 09:14:08] "GET /api/companies/ HTTP/1.1" 200 1406
[26/Dec/2025 09:14:08] "GET /api/companies/ HTTP/1.1" 200 1406
[26/Dec/2025 09:14:08] "POST /api/companies/ HTTP/1.1" 201 185
[26/Dec/2025 09:14:08] "GET /api/companies/ HTTP/1.1" 200 1592
[26/Dec/2025 09:14:08] "GET /api/companies/ HTTP/1.1" 200 1592
[26/Dec/2025 09:14:08] "GET /api/departments/ HTTP/1.1" 200 1037
[26/Dec/2025 09:14:08] "GET /api/departments/ HTTP/1.1" 200 1037
[26/Dec/2025 09:14:08] "GET /api/companies/ HTTP/1.1" 200 1592
[26/Dec/2025 09:14:08] "GET /api/companies/ HTTP/1.1" 200 1592
[26/Dec/2025 09:14:08] "POST /api/departments/ HTTP/1.1" 201 156
[26/Dec/2025 09:14:08] "GET /api/departments/ HTTP/1.1" 200 1194
[26/Dec/2025 09:14:08] "GET /api/departments/ HTTP/1.1" 200 1194
[26/Dec/2025 09:14:08] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:14:08] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:14:08] "GET /api/companies/ HTTP/1.1" 200 1592
[26/Dec/2025 09:14:08] "GET /api/companies/ HTTP/1.1" 200 1592
[26/Dec/2025 09:14:08] "OPTIONS /api/departments/?company=11 HTTP/1.1" 200 0
[26/Dec/2025 09:14:08] "GET /api/departments/?company=11 HTTP/1.1" 200 1194
Bad Request: /api/employees/
[26/Dec/2025 09:14:09] "POST /api/employees/ HTTP/1.1" 400 50
